TERYT;Name;Revenue per person
0802063;Krosno Odrzańskie (3);5269.07
0802072;Maszewo (2);4947.32
0803000;Powiat międzyrzecki;5773.29
0803012;Bledzew (2);5704.58
0803023;Międzyrzecz (3);5568.08
0803032;Przytoczna (2);5970.19
0803042;Pszczew (2);7083.16
0803053;Skwierzyna (3);5577.22
0803063;Trzciel (3);5933.98
0804000;Powiat nowosolski;5361.10
0804011;Nowa Sól (1);5304.03
0804023;Bytom Odrzański (3);5795.09
0804032;Kolsko (2);5840.48
0804043;Kożuchów (3);4715.14
0804052;Nowa Sól (2);5641.23
0804063;Nowe Miasteczko (3);5741.84
0804073;Otyń (3);5660.08
0804082;Siedlisko (2);6045.85
0805000;Powiat słubicki;6154.70
0805013;Cybinka (3);5015.10
0805022;Górzyca (2);6413.19
0805033;Ośno Lubuskie (3);6946.39
0805043;Rzepin (3);6619.05
0805053;Słubice (3);5991.05
0806000;Powiat strzelecko-drezdenecki;5866.56
0806013;Dobiegniew (3);7214.05
0806023;Drezdenko (3);6172.81
0806032;Stare Kurowo (2);5975.28
0806043;Strzelce Krajeńskie (3);5036.76
0806052;Zwierzyn (2);5779.59
0807000;Powiat sulęciński;6336.41
0807012;Krzeszyce (2);6249.27
0807023;Lubniewice (3);5780.81
0807032;Słońsk (2);6311.88
0807043;Sulęcin (3);6948.48
0807053;Torzym (3);5257.62
0808000;Powiat świebodziński;6050.34
0808012;Lubrza (2);5780.11
0808022;Łagów (2);5830.50
0808032;Skąpe (2);5866.14
0808042;Szczaniec (2);7612.50
0808053;Świebodzin (3);5283.93
0808063;Zbąszynek (3);8438.74
0809000;Powiat zielonogórski;5684.30
0809013;Babimost (3);6181.96
0809022;Bojadła (2);5277.92
0809033;Czerwieńsk (3);5618.36
0809043;Kargowa (3);5756.19
0809053;Nowogród Bobrzański (3);5075.51
0809063;Sulechów (3);5432.50
0809072;Świdnica (2);7118.13
0809082;Trzebiechów (2);5608.66
0809092;Zabór (2);6067.20
0810000;Powiat żagański;5438.35
0810011;Gozdnica (1);6922.42
0810021;Żagań (1);5065.71
0810032;Brzeźnica (2);5800.74
0810043;Iłowa (3);6454.26
0810053;Małomice (3);5183.70
0810062;Niegosławice (2);6399.35
0810073;Szprotawa (3);5182.39
0810082;Wymiarki (2);5305.59
0810092;Żagań (2);5371.00
0811000;Powiat żarski;5462.53
0811011;Łęknica (1);9245.49
0811021;Żary (1);5520.46
0811032;Brody (2);5667.13
0811043;Jasień (3);4884.76
0811052;Lipinki Łużyckie (2);5841.06
0811063;Lubsko (3);5127.17
0811072;Przewóz (2);5745.37
0811082;Trzebiel (2);5047.92
0811092;Tuplice (2);5393.59
0811102;Żary (2);5343.26
0812000;Powiat wschowski;5137.42
0812013;Sława (3);5860.91
0812023;Szlichtyngowa (3);5407.16
0812033;Wschowa (3);4638.55
0861000;Powiat m.Gorzów Wielkopolski;7408.06
0861011;Gorzów Wielkopolski (1);7408.06
0862000;Powiat m.Zielona Góra;7227.96
0862011;Zielona Góra (1);7227.96
1000000;ŁÓDZKIE;6184.58
1001000;Powiat bełchatowski;7572.47
1001011;Bełchatów (1);5126.37
1001022;Bełchatów (2);5473.16
1001032;Drużbice (2);5733.62
1001042;Kleszczów (2);41002.45
1001052;Kluki (2);4996.88
1001062;Rusiec (2);5147.82
1001072;Szczerców (2);10490.70
1001083;Zelów (3);4872.29
1002000;Powiat kutnowski;5496.23
1002011;Kutno (1);5631.51
1002022;Bedlno (2);4937.77
1002032;Dąbrowice (2);8544.02
1002043;Krośniewice (3);5054.98
1002052;Krzyżanów (2);5595.59
1002062;Kutno (2);5198.00
1002072;Łanięta (2);5479.65
1002082;Nowe Ostrowy (2);5753.06
1002092;Oporów (2);5661.01
1002102;Strzelce (2);7190.02
1002113;Żychlin (3);4585.79
1003000;Powiat łaski;4904.17
1003012;Buczek (2);5064.85
1003023;Łask (3);4464.58
1003032;Sędziejowice (2);5535.12
1003042;Widawa (2);5614.37
1003052;Wodzierady (2);5511.50
1004000;Powiat łęczycki;5527.32
1004011;Łęczyca (1);5178.64
1004022;Daszyna (2);7369.26
1004032;Góra Świętej Małgorzaty (2);5454.54
1004042;Grabów (2);5106.18
1004052;Łęczyca (2);5672.49
1004063;Piątek (3);5576.32
1004072;Świnice Warckie (2);5672.01
1004082;Witonia (2);5039.82
1005000;Powiat łowicki;5738.92
1005011;Łowicz (1);6405.00
1005022;Bielawy (2);5276.38
1005032;Chąśno (2);5492.45
1005042;Domaniewice (2);5175.26
1005052;Kiernozia (2);5952.71
1005062;Kocierzew Południowy (2);5263.87
1005072;Łowicz (2);5741.15
1005082;Łyszkowice (2);4965.56
1005092;Nieborów (2);5079.91
1005102;Zduny (2);5677.47
1006000;Powiat łódzki wschodni;5969.19
1006022;Andrespol (2);5514.60
1006032;Brójce (2);5579.03
1006073;Koluszki (3);5393.23
1006082;Nowosolna (2);7206.33
1006103;Rzgów (3);7736.97
1006113;Tuszyn (3);5777.99
1007000;Powiat opoczyński;5162.58
1007012;Białaczów (2);5332.36
1007023;Drzewica (3);4830.92
1007032;Mniszków (2);5340.59
1007043;Opoczno (3);4694.46
1007052;Paradyż (2);7977.95
1007062;Poświętne (2);5114.68
