RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
55703,2205072,1,0,0,0,6691.32,1,1956-09-01,73,1,1,0,0,1,11,68
68587,2205072,1,0,0,0,6691.32,1,1945-09-01,169,0,1,0,0,1,18,56
68588,2205072,1,0,0,0,6691.32,0,1950-09-01,269,1,1,0,0,1,29,62
88713,2206022,1,0,0,0,7100.05,1,1970-09-01,138,1,1,0,0,0,16,70
89780,2206022,1,0,0,0,7100.05,0,1995-08-28,390,0,0,0,0,0,38,54
31096,2206032,1,0,0,0,6578.83,0,1999-09-01,238,0,1,0,0,1,33,61
31099,2206032,1,0,0,0,6578.83,0,1999-09-01,239,1,1,1,0,1,24,51
8294,2206011,0,1,0,0,6608.77,1,1945-04-10,505,0,1,0,0,1,50,70
22494,2206011,0,1,0,0,6608.77,1,1960-09-01,393,0,1,1,0,1,41,53
23376,2206011,0,1,0,0,6608.77,1,1985-09-01,844,1,1,1,1,1,88,65
25157,2206011,0,1,0,0,6608.77,1,1963-09-03,504,1,1,0,0,1,33,71
27790,2206011,0,1,0,0,6608.77,1,1945-09-01,392,0,1,1,0,1,32,59
8125,2206042,1,0,0,0,6320.9,0,1966-09-01,128,0,1,1,0,0,19,58
8127,2206042,1,0,0,0,6320.9,0,1894-09-01,155,1,1,0,0,0,14,53
8135,2206042,1,0,0,0,6320.9,0,1911-09-01,223,0,1,0,0,1,24,44
8138,2206042,1,0,0,0,6320.9,1,1994-09-01,153,1,1,0,0,1,12,67
8141,2206042,1,0,0,0,6320.9,0,1999-02-27,100,0,1,0,0,1,14,66
85071,2206042,1,0,0,0,6320.9,1,1990-09-01,239,0,1,0,0,1,26,62
85100,2206042,1,0,0,0,6320.9,1,1966-09-01,321,0,1,0,0,1,28,49
27388,2206052,1,0,0,0,7306.04,1,1850-09-01,267,0,1,0,0,0,56,45
52891,2206062,1,0,0,0,7244.21,0,1999-09-01,372,0,1,1,0,0,38,56
31538,2206072,1,0,0,0,6815.46,0,1999-09-01,206,0,1,0,0,0,30,47
31540,2206072,1,0,0,0,6815.46,1,1999-09-01,438,0,1,0,0,1,26,45
42255,2206072,1,0,0,0,6815.46,1,1999-09-01,326,1,0,0,0,0,33,43
71177,2206082,1,0,0,0,6057.34,0,1999-09-01,97,0,1,0,0,1,10,44
84648,2206082,1,0,0,0,6057.34,1,1999-09-01,462,0,1,1,1,1,36,53
85047,2206082,1,0,0,0,6057.34,1,1999-09-01,263,0,1,1,0,1,20,67
89859,2207022,1,0,0,0,5788.07,1,1999-09-01,252,0,0,1,1,0,32,59
105822,2207022,1,0,0,0,5788.07,1,1999-09-01,113,1,0,0,0,0,20,40
105823,2207022,1,0,0,0,5788.07,1,1999-09-01,131,1,0,1,0,1,13,70
42158,2207011,0,1,0,0,5596.27,1,1946-12-02,655,1,1,1,1,1,72,54
42287,2207011,0,1,0,0,5596.27,1,1945-09-03,515,1,1,1,1,1,76,66
42307,2207011,0,1,0,0,5596.27,1,1968-09-01,779,1,1,1,1,1,73,74
44372,2207011,0,1,0,0,5596.27,1,1961-09-03,821,1,1,1,1,1,136,71
133932,2207011,0,1,0,0,5596.27,1,2017-09-01,710,0,1,1,1,1,45,61
51436,2207032,1,0,0,0,5833.35,1,1999-09-01,169,1,1,0,0,1,18,46
51437,2207032,1,0,0,0,5833.35,0,1999-09-01,181,1,1,1,0,0,25,67
51785,2207032,1,0,0,0,5833.35,0,1999-09-01,162,1,1,1,0,1,11,43
51801,2207032,1,0,0,0,5833.35,1,1999-09-01,220,0,1,0,0,1,16,56
263336,2207032,1,0,0,0,5833.35,1,2017-09-01,137,1,1,0,1,0,14,67
263342,2207032,1,0,0,0,5833.35,1,2017-09-01,164,0,1,0,1,1,10,66
15133,2207052,1,0,0,0,5903.24,1,1985-08-08,132,1,1,1,0,1,10,56
18411,2207052,1,0,0,0,5903.24,1,1975-12-15,425,1,0,1,0,1,50,51
35305,2207062,1,0,0,0,5851.07,0,1945-09-01,367,1,1,0,0,1,48,61
35307,2207062,1,0,0,0,5851.07,1,1945-05-18,207,1,1,0,0,1,12,56
26359,2208032,1,0,0,0,7234.17,0,1985-04-19,196,0,0,0,1,0,11,42
26508,2208032,1,0,0,0,7234.17,1,1985-04-19,137,1,1,1,1,1,12,54
53275,2208032,1,0,0,0,7234.17,1,1995-12-29,245,0,1,0,1,1,21,44
18570,2208011,0,1,0,0,6193.26,1,1960-09-27,541,1,1,0,0,0,41,56
25809,2208011,0,1,0,0,6193.26,0,1945-09-03,478,0,1,1,1,1,53,40
262387,2208011,0,1,0,0,6193.26,1,2017-09-01,520,1,1,0,1,1,138,72
262388,2208011,0,1,0,0,6193.26,1,2017-09-01,226,1,0,0,0,0,80,57
109315,2208042,1,0,0,0,6350.57,1,1976-01-20,407,1,1,1,1,1,41,64
109327,2208042,1,0,0,0,6350.57,1,1956-01-09,141,0,1,1,1,1,17,52
109335,2208042,1,0,0,0,6350.57,1,1985-04-19,215,0,1,1,1,1,14,41
109347,2208042,1,0,0,0,6350.57,1,1985-04-19,187,1,1,1,1,1,18,53
109350,2208042,1,0,0,0,6350.57,1,1985-04-19,138,1,1,1,1,0,15,55
60725,2208052,1,0,0,0,6598.98,1,1983-09-01,279,0,1,0,0,1,30,66
56166,2208021,0,1,0,0,12457.1,1,1991-11-07,393,1,1,1,1,1,35,68
61846,2209032,1,0,0,0,6191.95,1,1945-09-01,181,1,1,1,1,1,15,48
7660,2209011,0,1,0,0,4807.12,1,1985-04-09,564,1,0,0,1,1,48,75
18054,2209011,0,1,0,0,4807.12,1,1985-04-10,445,0,0,1,1,1,51,76
18266,2209011,0,1,0,0,4807.12,1,1985-04-10,444,1,0,1,1,1,46,58
53303,2209011,0,1,0,0,4807.12,1,1999-09-01,320,0,1,1,1,1,14,45
55893,2209011,0,1,0,0,4807.12,0,1992-09-01,682,0,0,1,0,0,69,67
56973,2209011,0,1,0,0,4807.12,0,1945-09-04,472,1,1,0,1,1,70,66
68192,2209011,0,1,0,0,4807.12,1,1945-09-04,211,0,0,0,1,1,20,77
118870,2209011,0,1,0,0,4807.12,1,2013-08-30,217,0,1,0,0,1,21,71
133660,2209011,0,1,0,0,4807.12,1,2017-09-01,369,1,1,1,0,1,43,51
53946,2209062,1,0,0,0,5987.22,1,1969-09-01,108,1,1,0,0,1,14,59
120478,2209062,1,0,0,0,5987.22,0,1947-09-01,145,0,1,1,1,1,21,50
121671,2209082,1,0,0,0,6392.41,1,1999-09-01,463,0,1,1,1,1,32,48
70714,2210032,1,0,0,0,4868.58,1,2008-09-01,210,0,1,1,1,1,20,42
59128,2210042,1,0,0,0,5778.12,1,1945-10-01,146,0,1,0,0,1,10,68
59129,2210042,1,0,0,0,5778.12,1,2007-09-01,207,1,1,1,0,1,22,55
59130,2210042,1,0,0,0,5778.12,1,1945-10-01,232,0,1,0,0,1,29,58
59131,2210042,1,0,0,0,5778.12,1,1945-10-01,233,0,1,0,1,1,33,63
68577,2210052,1,0,0,0,6045.03,1,1946-02-01,361,0,1,0,1,1,24,57
110019,2211011,0,1,0,0,9964.21,0,1945-09-01,192,0,0,0,1,1,37,65
7210,2211052,1,0,0,0,7325.96,1,1983-09-01,997,0,0,0,1,1,72,88
11816,2211052,1,0,0,0,7325.96,1,1983-09-01,553,0,1,1,1,1,54,77
12555,2211052,1,0,0,0,7325.96,1,1983-09-01,323,0,1,1,1,1,34,71
69855,2211062,1,0,0,0,6986.09,0,1992-01-01,248,0,1,1,1,1,16,42
74322,2211062,1,0,0,0,6986.09,0,1992-01-01,660,1,1,0,1,1,71,54
74323,2211062,1,0,0,0,6986.09,1,1992-01-01,211,1,1,0,1,0,10,67
83814,2211031,0,1,0,0,7382.0,1,1948-09-01,1016,1,1,1,1,1,108,65
48166,2211072,1,0,0,0,6688.03,1,1999-09-01,172,0,1,0,1,0,16,42
48185,2211072,1,0,0,0,6688.03,1,1999-09-01,111,1,1,1,1,1,12,55
48186,2211072,1,0,0,0,6688.03,1,1999-09-01,139,0,1,0,0,0,13,65
48873,2211072,1,0,0,0,6688.03,1,1999-09-01,246,0,1,1,1,1,21,46
48874,2211072,1,0,0,0,6688.03,1,1999-09-01,459,1,1,1,1,1,26,52
48875,2211072,1,0,0,0,6688.03,1,1999-09-01,233,0,1,1,0,1,21,57
48879,2211072,1,0,0,0,6688.03,1,1999-09-01,130,0,1,1,1,1,16,59
63426,2211072,1,0,0,0,6688.03,1,1999-09-01,546,0,1,1,1,1,45,61
63430,2211072,1,0,0,0,6688.03,1,1973-09-01,325,1,1,0,1,1,24,58
63434,2211072,1,0,0,0,6688.03,1,1999-09-01,286,0,1,1,1,1,38,52
72302,2211072,1,0,0,0,6688.03,1,1999-09-01,220,1,1,1,1,1,20,55
85772,2213042,1,0,0,0,5997.63,1,1999-09-01,285,1,1,1,0,1,35,51
44101,2213052,1,0,0,0,7177.27,0,2016-09-01,447,0,1,0,0,0,63,54
57265,2213062,1,0,0,0,6477.44,1,1999-09-01,154,1,0,0,1,1,20,44
57266,2213062,1,0,0,0,6477.44,1,1999-09-01,565,1,1,1,1,1,50,52
107064,2213072,1,0,0,0,5609.49,1,1983-03-31,101,0,1,1,0,0,12,44
107114,2213072,1,0,0,0,5609.49,1,1985-05-09,124,0,1,0,0,1,21,63
115668,2213082,1,0,0,0,5588.41,1,1999-09-01,254,1,1,1,0,1,18,68
34315,2213021,0,1,0,0,7281.05,1,1991-01-01,405,0,1,1,0,1,36,59
34316,2213102,1,0,0,0,5526.7,1,1993-09-01,255,1,1,1,0,1,47,50
30764,2213112,1,0,0,0,5990.99,1,1945-09-01,351,1,1,1,1,1,38,51
7020,2213031,0,1,0,0,5469.94,1,1991-09-01,1057,1,1,1,1,1,142,69
7071,2213031,0,1,0,0,5469.94,1,1965-09-01,874,1,1,1,1,1,78,66
7164,2213031,0,1,0,0,5469.94,1,1945-04-03,402,0,1,1,1,1,39,47
7515,2213031,0,1,0,0,5469.94,0,1959-10-03,908,1,1,1,1,1,84,70
111592,2213031,0,1,0,0,5469.94,0,1999-09-01,445,0,1,1,1,1,51,69
133908,2213031,0,1,0,0,5469.94,1,2017-09-01,736,1,1,1,1,1,65,55
28646,2213122,1,0,0,0,6207.77,0,1996-01-01,351,0,0,0,1,1,39,56
28701,2213122,1,0,0,0,6207.77,1,1996-01-01,229,1,1,1,1,1,32,54
29853,2213122,1,0,0,0,6207.77,1,2001-09-01,194,0,1,0,1,1,59,44
60316,2213122,1,0,0,0,6207.77,1,1996-01-01,443,1,1,0,0,0,51,59
6846,2213132,1,0,0,0,6545.42,1,2004-09-01,211,0,1,1,0,1,16,40
15116,2213132,1,0,0,0,6545.42,1,1999-09-01,336,0,1,0,0,1,38,48
15308,2213132,1,0,0,0,6545.42,1,1999-09-01,515,1,1,1,1,1,41,52
70003,2213132,1,0,0,0,6545.42,1,2004-09-01,210,1,1,0,0,1,19,55
22017,2216022,1,0,0,0,6436.98,0,1945-09-01,300,1,1,0,0,1,53,41
25213,2216032,1,0,0,0,6067.15,1,1975-12-15,141,1,0,0,0,1,17,54
85773,2216042,1,0,0,0,6118.57,1,1929-06-03,206,0,1,1,0,1,16,33
86054,2216042,1,0,0,0,6118.57,1,1929-06-03,96,0,1,1,0,1,12,39
18309,2212022,1,0,0,0,6169.98,1,1945-09-10,169,1,1,1,0,1,13,54
18422,2212022,1,0,0,0,6169.98,1,1945-09-03,155,0,1,1,0,1,14,54
20385,2212022,1,0,0,0,6169.98,1,1945-09-10,194,0,1,1,0,1,28,72
74821,2212032,1,0,0,0,5918.05,1,1945-09-17,110,0,1,0,0,0,15,45
81030,2212032,1,0,0,0,5918.05,1,2008-09-01,385,0,1,1,0,1,52,62
81805,2212032,1,0,0,0,5918.05,1,1974-09-01,134,0,1,0,0,1,12,45
47648,2212042,1,0,0,0,6522.15,1,1985-04-19,139,1,1,0,0,1,13,51
52429,2212042,1,0,0,0,6522.15,1,2002-09-01,113,0,1,1,0,1,14,45
64617,2212042,1,0,0,0,6522.15,1,1985-04-19,165,1,1,1,0,1,17,33
65205,2212042,1,0,0,0,6522.15,1,1947-09-01,407,0,1,1,0,1,35,44
34498,2212062,1,0,0,0,6795.74,1,1991-02-15,132,0,1,0,1,1,11,41
40173,2212062,1,0,0,0,6795.74,1,1999-09-01,872,1,1,1,1,0,55,76
53413,2212072,1,0,0,0,6046.8,1,2003-09-01,408,1,1,0,1,1,32,59
75517,2212072,1,0,0,0,6046.8,1,2003-09-01,309,1,1,0,1,1,22,49
111350,2212092,1,0,0,0,6359.62,0,1948-09-01,253,0,1,1,1,1,23,55
43348,2212082,1,0,0,0,8301.86,1,1946-09-01,306,1,1,1,1,1,16,62
52363,2212082,1,0,0,0,8301.86,1,1966-02-28,220,1,1,1,1,1,20,68
76175,2212082,1,0,0,0,8301.86,1,1945-09-01,295,1,1,0,1,0,18,66
76176,2212082,1,0,0,0,8301.86,1,1945-12-19,164,1,1,1,1,1,17,64
85018,2212082,1,0,0,0,8301.86,1,1995-09-01,242,0,1,0,1,1,22,64
85496,2212082,1,0,0,0,8301.86,1,1926-09-01,507,0,1,1,0,1,46,74
85519,2212082,1,0,0,0,8301.86,1,1957-11-16,289,0,1,0,1,1,23,49
9902,2212011,0,1,0,0,6931.12,1,1945-09-04,494,1,1,1,1,1,57,69
10239,2212011,0,1,0,0,6931.12,1,1983-09-01,587,1,1,1,1,1,49,69
196286,2212011,0,1,0,0,6931.12,1,2017-09-01,306,1,1,1,1,1,21,55
11611,2212102,1,0,0,0,7888.92,0,1946-09-01,109,0,1,0,0,0,10,60
12336,2212102,1,0,0,0,7888.92,0,1946-09-01,331,1,1,0,0,1,23,47
77956,2212102,1,0,0,0,7888.92,0,1946-09-01,142,1,1,0,0,0,22,53
8966,2214032,1,0,0,0,5897.66,1,1999-09-01,75,1,1,1,1,1,10,51
13601,2214032,1,0,0,0,5897.66,1,1963-09-01,252,1,1,1,1,1,20,41
24295,2214052,1,0,0,0,5701.98,1,1992-01-01,109,0,1,1,0,1,15,45
40137,2214052,1,0,0,0,5701.98,1,1992-01-01,381,0,1,1,0,1,40,62
67802,2214011,0,1,0,0,5560.12,1,1958-09-01,347,1,1,0,1,0,28,56
67803,2214011,0,1,0,0,5560.12,1,1961-09-01,769,1,0,0,1,1,45,57
196219,2214011,0,1,0,0,5560.12,1,2017-09-01,300,1,0,0,0,1,137,62
196220,2214011,0,1,0,0,5560.12,1,2017-09-01,431,0,0,1,0,1,244,73
196228,2214011,0,1,0,0,5560.12,1,2017-09-01,371,0,1,1,1,1,73,93
41051,2214062,1,0,0,0,6059.27,1,1959-09-01,235,0,1,1,1,1,21,63
41055,2214062,1,0,0,0,6059.27,1,1945-11-09,295,1,1,0,1,1,17,48
41056,2214062,1,0,0,0,6059.27,1,1960-09-02,292,0,1,1,1,1,28,62
41061,2214062,1,0,0,0,6059.27,1,1919-09-01,245,0,1,1,1,1,26,40
43426,2215042,1,0,0,0,7685.75,1,1987-10-05,81,0,0,1,1,1,13,59
52802,2215042,1,0,0,0,7685.75,1,1999-09-01,466,0,1,1,1,1,47,52
88578,2215052,1,0,0,0,7922.72,1,2007-09-01,410,0,1,1,1,1,38,41
89203,2215052,1,0,0,0,7922.72,1,1997-09-01,504,0,1,1,1,1,48,44
13739,2215062,1,0,0,0,7544.57,1,1999-09-01,145,1,1,1,0,0,12,62
108844,2215062,1,0,0,0,7544.57,1,1999-09-01,286,0,1,0,1,0,36,43
108846,2215062,1,0,0,0,7544.57,0,1999-09-01,161,1,1,1,1,1,15,44
262962,2215072,1,0,0,0,6511.28,1,2017-09-01,734,1,1,1,1,1,218,49
5119,2215011,0,1,0,0,5326.8,1,1993-09-01,240,0,1,1,1,1,17,58
5213,2215011,0,1,0,0,5326.8,0,1964-09-01,741,0,1,1,1,1,53,76
5284,2215011,0,1,0,0,5326.8,1,1999-09-01,347,0,1,1,1,1,22,67
7147,2215011,0,1,0,0,5326.8,1,1945-09-01,798,0,1,1,1,1,72,68
8496,2215011,0,1,0,0,5326.8,1,1988-09-01,789,0,1,1,1,1,52,64
25862,2215021,0,1,0,0,5630.93,1,1995-09-01,499,1,1,1,1,1,41,55
55510,2215021,0,1,0,0,5630.93,1,2006-09-01,217,1,1,1,0,1,22,84
55810,2215021,0,1,0,0,5630.93,1,1960-11-30,975,1,1,0,1,1,83,60
69859,2215021,0,1,0,0,5630.93,1,1957-09-01,943,1,1,1,1,1,100,67
73137,2215021,0,1,0,0,5630.93,1,1986-06-12,1047,0,1,1,1,1,114,73
267906,2215021,0,1,0,0,5630.93,1,2018-09-01,579,0,1,0,1,1,35,69
267908,2215021,0,1,0,0,5630.93,0,2018-09-01,414,0,1,1,1,1,18,71
9340,2215092,1,0,0,0,7585.55,1,1983-09-01,147,0,0,0,1,0,17,63
9346,2215092,1,0,0,0,7585.55,1,1983-09-01,112,1,1,1,1,1,19,35
9347,2215092,1,0,0,0,7585.55,1,1983-09-01,112,0,1,1,1,0,13,46
9348,2215092,1,0,0,0,7585.55,1,1983-09-01,183,1,1,1,1,0,14,48
30553,2215092,1,0,0,0,7585.55,1,1989-09-01,551,0,1,1,1,1,59,52
52436,2215092,1,0,0,0,7585.55,1,1973-09-01,671,0,1,1,1,1,47,75
63314,2215092,1,0,0,0,7585.55,1,1988-09-01,560,1,1,0,1,1,46,60
6908,2215031,0,1,0,0,5513.05,1,1969-09-01,966,1,1,0,1,1,105,67
8400,2215031,0,1,0,0,5513.05,1,1983-09-01,783,1,1,1,1,1,69,56
8644,2215031,0,1,0,0,5513.05,1,1983-09-01,664,1,1,1,1,1,61,62
8723,2215031,0,1,0,0,5513.05,1,1983-09-01,961,0,1,1,1,1,90,63
8820,2215031,0,1,0,0,5513.05,1,1983-09-01,953,1,1,1,1,1,101,67
4071,2215102,1,0,0,0,6263.71,0,1994-08-31,176,1,1,1,1,1,14,62
4151,2215102,1,0,0,0,6263.71,1,1994-08-31,420,0,1,1,1,1,28,78
4152,2215102,1,0,0,0,6263.71,1,1994-08-31,794,1,1,1,1,1,81,54
4153,2215102,1,0,0,0,6263.71,0,1994-08-31,333,0,1,0,1,0,16,59
21758,2215102,1,0,0,0,6263.71,0,1999-09-01,572,1,1,0,1,1,50,54
103860,2215102,1,0,0,0,6263.71,1,1999-09-01,1418,1,1,1,1,1,129,63
14234,2215082,1,0,0,0,6350.08,1,1996-01-01,313,1,1,1,0,1,30,60
52704,2215082,1,0,0,0,6350.08,1,1996-09-01,393,0,1,1,1,1,56,53
64627,2215082,1,0,0,0,6350.08,1,1996-09-01,198,0,1,1,0,1,12,53
65002,2215082,1,0,0,0,6350.08,0,1996-09-01,383,0,1,1,1,1,41,53
7072,2061011,0,1,0,0,7527.61,1,1919-08-31,385,1,1,0,0,1,47,76
54463,2061011,0,1,0,0,7527.61,1,1977-09-01,815,0,1,1,1,1,93,80
57067,2061011,0,1,0,0,7527.61,1,1977-09-01,594,0,1,0,1,1,50,89
59870,2061011,0,1,0,0,7527.61,1,1971-09-01,763,1,1,1,1,1,83,61
64508,2061011,0,1,0,0,7527.61,1,1959-09-27,535,1,0,0,0,0,57,78
64510,2061011,0,1,0,0,7527.61,0,1977-09-01,475,0,1,1,1,1,58,72
64511,2061011,0,1,0,0,7527.61,1,1977-09-01,321,1,1,0,0,1,11,52
64512,2061011,0,1,0,0,7527.61,1,1977-09-01,864,0,1,1,1,1,87,79
64546,2061011,0,1,0,0,7527.61,1,1979-09-01,602,1,1,1,1,1,53,65
64739,2061011,0,1,0,0,7527.61,1,1984-09-01,445,1,0,0,0,1,77,75
64808,2061011,0,1,0,0,7527.61,1,1986-09-01,782,1,1,1,1,1,63,79
65280,2061011,0,1,0,0,7527.61,1,1988-09-01,1020,1,1,1,0,1,111,74
66156,2061011,0,1,0,0,7527.61,0,2003-09-01,862,1,1,1,1,1,46,80
81620,2061011,0,1,0,0,7527.61,0,1977-09-01,611,1,1,0,0,1,70,83
81621,2061011,0,1,0,0,7527.61,1,1977-09-01,443,1,1,1,1,1,49,78
81628,2061011,0,1,0,0,7527.61,1,1957-09-01,319,1,0,0,0,1,20,77
81629,2061011,0,1,0,0,7527.61,1,1977-09-01,507,1,1,0,0,1,62,68
81633,2061011,0,1,0,0,7527.61,1,1977-09-01,462,1,1,1,0,1,55,82
81636,2061011,0,1,0,0,7527.61,1,1991-09-01,714,1,0,1,1,1,110,75
81638,2061011,0,1,0,0,7527.61,1,1977-09-01,679,1,1,0,1,1,45,74
81641,2061011,0,1,0,0,7527.61,0,1983-09-01,561,1,0,1,1,1,35,70
81642,2061011,0,1,0,0,7527.61,1,1952-09-01,1292,1,1,1,1,1,158,72
81643,2061011,0,1,0,0,7527.61,1,1981-09-01,718,1,1,0,1,1,121,78
81646,2061011,0,1,0,0,7527.61,1,1971-09-01,303,1,1,0,0,1,37,72
81648,2061011,0,1,0,0,7527.61,1,1988-09-01,607,1,0,0,1,1,89,79
81650,2061011,0,1,0,0,7527.61,1,1999-09-01,1002,1,1,0,1,1,125,80
81651,2061011,0,1,0,0,7527.61,1,2001-09-01,1094,1,1,1,1,1,94,75
81653,2061011,0,1,0,0,7527.61,1,2006-01-01,714,1,1,1,1,1,58,78
91505,2061011,0,1,0,0,7527.61,1,1952-09-01,743,1,1,0,1,1,86,74
91506,2061011,0,1,0,0,7527.61,1,1977-09-01,463,1,1,1,1,1,38,65
91507,2061011,0,1,0,0,7527.61,1,1959-09-27,617,1,1,1,0,1,95,77
133536,2061011,0,1,0,0,7527.61,1,2017-09-01,705,1,1,0,0,1,28,80
133537,2061011,0,1,0,0,7527.61,1,2017-09-01,436,1,1,0,0,1,24,78
133542,2061011,0,1,0,0,7527.61,0,2017-09-01,481,1,0,1,0,1,23,84
133544,2061011,0,1,0,0,7527.61,1,2017-09-01,162,0,1,0,1,1,72,96
263153,2061011,0,1,0,0,7527.61,1,2017-09-01,0,0,1,0,0,1,12,33
13296,2063011,0,1,0,0,7301.42,1,1963-09-03,774,1,1,0,1,1,114,69
27004,2063011,0,1,0,0,7301.42,1,1983-03-31,484,0,1,1,1,1,53,68
27749,2063011,0,1,0,0,7301.42,1,1932-09-01,845,1,1,0,1,1,98,69
30121,2063011,0,1,0,0,7301.42,1,1998-09-01,935,1,1,1,1,1,102,68
49362,2063011,0,1,0,0,7301.42,1,1981-09-01,959,0,1,0,1,1,127,72
53287,2063011,0,1,0,0,7301.42,1,1959-02-07,744,1,1,0,0,1,62,64
68453,2063011,0,1,0,0,7301.42,1,1985-09-01,816,1,1,0,1,1,80,64
73153,2063011,0,1,0,0,7301.42,1,1989-09-01,773,0,1,1,1,1,87,62
44717,2001011,0,1,0,0,5631.84,1,1983-09-01,168,0,1,1,1,1,16,66
86491,2001011,0,1,0,0,5631.84,1,1983-09-01,418,1,1,1,1,1,42,54
86572,2001011,0,1,0,0,5631.84,1,1983-09-01,981,0,1,1,1,1,106,63
104979,2001011,0,1,0,0,5631.84,1,1983-09-01,724,1,1,1,1,1,72,67
17004,2001022,1,0,0,0,5378.08,1,1959-02-12,92,1,0,0,0,0,12,43
17130,2001022,1,0,0,0,5378.08,1,1959-12-12,151,1,0,0,0,1,19,55
17194,2001022,1,0,0,0,5378.08,1,1958-12-29,95,1,0,0,0,0,10,53
25160,2001022,1,0,0,0,5378.08,1,1959-02-18,107,1,0,0,0,1,11,58
106284,2001032,1,0,0,0,5460.01,1,1957-06-25,313,1,1,0,0,1,30,44
70127,2001052,1,0,0,0,5615.18,1,1997-09-01,185,1,0,0,0,1,31,47
114881,2001062,1,0,0,0,5828.97,1,1947-09-01,217,0,1,0,0,1,18,58
75697,2001072,1,0,0,0,5105.03,1,1949-09-01,268,1,0,1,1,0,26,65
51816,2002032,1,0,0,0,5740.04,0,1921-11-01,161,1,0,1,0,1,11,59
86721,2002032,1,0,0,0,5740.04,1,1959-09-01,176,0,1,1,0,1,25,82
87526,2002032,1,0,0,0,5740.04,1,1919-09-01,239,0,1,1,0,1,26,66
87750,2002032,1,0,0,0,5740.04,0,1905-09-01,287,0,0,1,0,1,30,65
24437,2002042,1,0,0,0,5835.94,1,1983-04-18,317,0,0,0,1,1,20,53
31156,2002052,1,0,0,0,5904.12,1,1982-10-30,294,0,1,1,1,1,26,76
31160,2002052,1,0,0,0,5904.12,1,1982-09-01,387,0,1,1,1,1,43,70
31162,2002052,1,0,0,0,5904.12,1,1990-09-01,795,1,1,1,1,1,68,72
9118,2002082,1,0,0,0,5807.05,1,1958-07-21,289,1,1,1,0,1,33,48
58564,2002112,1,0,0,0,5531.82,0,1924-09-01,129,0,0,1,0,1,10,59
74598,2002112,1,0,0,0,5531.82,0,1920-09-01,217,0,0,0,1,1,22,62
75043,2003011,0,1,0,0,5279.11,1,1995-09-01,696,1,1,1,0,1,41,65
79300,2003011,0,1,0,0,5279.11,1,1965-09-01,571,1,0,1,1,1,63,82
80949,2003011,0,1,0,0,5279.11,1,1944-09-19,477,1,1,0,1,1,31,62
80950,2003011,0,1,0,0,5279.11,1,1992-09-01,418,0,1,0,1,1,37,57
2987,2003032,1,0,0,0,5097.78,1,1999-09-01,146,1,0,0,1,0,13,47
77424,2003032,1,0,0,0,5097.78,0,2002-09-01,340,1,0,1,1,0,21,35
73766,2003042,1,0,0,0,5345.82,1,1919-09-01,267,0,0,1,1,1,17,65
14371,2003021,0,1,0,0,6673.38,1,1582-01-01,356,0,1,1,1,1,35,60
69766,2003052,1,0,0,0,5077.6,1,1918-09-01,137,0,1,0,0,0,12,48
69767,2003052,1,0,0,0,5077.6,1,1929-09-03,126,1,1,0,0,0,11,50
268294,2003052,1,0,0,0,5077.6,0,2018-09-01,48,1,1,0,0,0,10,41
16558,2003072,1,0,0,0,5470.96,1,1919-09-01,200,1,1,0,0,1,18,51
107031,2003082,1,0,0,0,5887.25,1,1956-09-03,209,1,0,1,1,0,14,68
107264,2003082,1,0,0,0,5887.25,1,1935-09-02,211,1,0,1,0,0,11,49
54359,2004011,0,1,0,0,5412.83,0,1977-01-01,568,1,1,0,1,1,39,65
83713,2004011,0,1,0,0,5412.83,1,1976-12-31,853,1,1,0,0,1,70,66
83715,2004011,0,1,0,0,5412.83,0,1976-12-31,728,0,1,1,0,1,73,67
4028,2004022,1,0,0,0,5794.67,1,1963-08-31,159,1,1,0,0,0,15,49
4030,2004022,1,0,0,0,5794.67,1,1939-08-31,138,1,1,0,0,0,19,56
11171,2004032,1,0,0,0,6989.11,1,1999-09-01,199,0,1,1,0,1,18,51
11216,2004032,1,0,0,0,6989.11,0,2004-09-01,88,1,1,1,1,0,10,45
6976,2004062,1,0,0,0,6084.0,0,1939-09-01,209,1,0,0,0,1,12,38
23014,2005022,1,0,0,0,6725.58,1,1975-12-15,95,0,0,0,1,0,11,45
112135,2005032,1,0,0,0,5100.89,1,2011-09-01,144,0,0,1,0,1,15,70
29979,2005011,0,1,0,0,4928.21,1,1963-09-01,148,0,0,0,0,1,16,68
38735,2005011,0,1,0,0,4928.21,1,1959-09-01,334,1,1,0,1,1,46,66
40216,2005011,0,1,0,0,4928.21,1,1936-09-01,459,1,1,1,1,1,55,65
41012,2005011,0,1,0,0,4928.21,1,1994-09-01,548,1,1,1,1,1,49,71
10495,2005062,1,0,0,0,5151.61,1,1906-09-01,222,0,0,0,0,1,12,60
34872,2006022,1,0,0,0,6426.09,1,1945-03-01,245,1,1,0,0,1,37,48
66395,2006011,0,1,0,0,5860.06,1,1968-09-01,572,1,1,1,1,1,41,57
80696,2006011,0,1,0,0,5860.06,1,1935-09-01,478,1,1,1,1,0,56,69
48621,2006032,1,0,0,0,5578.88,0,1949-09-10,117,1,1,0,0,0,16,38
